date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25
2021-05-12,49046.776,39879.539,5487.254935897018,1950.916,35786.157,,,Mumbai,17.42569885582295,0.5297227006162932
2021-05-13,47221.494,38863.22,5386.171211569166,1277.737,35532.417,,,Mumbai,17.13446040786587,0.5205891660410519
2021-05-14,49457.001,40154.756,5429.3636857768215,2165.789,35722.531,,,Mumbai,17.032229202014143,0.5228257664257707
2021-05-15,46339.387,39819.82,4961.923565260564,0.0,35855.286,,,Mumbai,16.063155406068653,0.48714867187209715
2021-05-16,42191.085,36744.303,4150.893366723419,0.0,35491.047,,,Mumbai,13.614525770934996,0.41007417568161414
2021-05-17,43489.55,36675.75,5186.324462004971,0.0,35287.897,,,Mumbai,16.15344354752912,0.4929985032443201
2021-05-18,43037.919,35883.2,5451.891406932595,0.0,35227.807,,,Mumbai,17.488422068613808,0.5254329688824627
2021-05-19,44095.079000000005,35957.923,5587.037325316736,790.165,35163.186,,,Mumbai,17.69152220534314,0.5366380137508094
2021-05-20,45498.187000000005,35722.193,5053.835257119023,3140.709,34909.8,,,Mumbai,17.686579837581654,0.5046820277942491
2021-05-21,45615.49799999999,36256.268,4764.546225962379,3111.475,34802.617,,,Mumbai,17.689071916694253,0.4860362858893639
2021-05-22,44965.678,37533.961,4151.274537683026,2006.321,34901.443,,,Mumbai,15.189293318072554,0.41864426556369855
2021-05-23,45618.23,38207.502,3618.849545876367,2676.972,35182.325,,,Mumbai,13.697865934222833,0.3753153906802621
2021-05-24,47946.946,39098.851,4757.33103339709,2598.065,35271.096,,,Mumbai,17.662765812331504,0.4870854937525339
2021-05-25,47522.585,38513.324,4772.74545674886,2747.037,35468.949,,,Mumbai,17.832294135424082,0.48940498051592585
2021-05-26,46060.038,37878.835,4664.384728963532,2069.915,35641.061,,,Mumbai,17.237870376373138,0.4745640863144034
2021-05-27,46997.148,37984.174,4817.461339678431,2682.038,35272.085,,,Mumbai,18.06624966809138,0.49578426463178915
2021-05-28,48077.778,39335.748,4826.759480475318,2400.081,35051.298,,,Mumbai,18.128140695834723,0.4974243699190386
2021-05-29,48106.465,40282.223,4427.793538049837,2012.23,35074.97,,,Mumbai,17.095366843302898,0.4623497616430406
2021-05-30,45474.748,38058.888,3794.0125560606803,2444.758,34670.655,,,Mumbai,14.744460047897018,0.39808906702791214
2021-05-31,46284.91,39981.721,4719.731154401401,94.514,34625.886,,,Mumbai,18.32591807108726,0.49264945050932807
2021-06-01,47683.951,37268.267,5720.7286342488,2913.644,34495.95,,,Mumbai,19.24501058175646,0.5587101346387844
2021-06-02,47535.367,39958.654,5775.450518183335,0.0,35031.358,,,Mumbai,19.331307582124282,0.563509770048289
2021-06-03,50771.578,40753.648,5835.596465572937,2360.072,35254.631,,,Mumbai,19.377865173178538,0.5682934718370165
2021-06-04,49469.719,40947.936,5847.413921035059,835.496,35255.95,,,Mumbai,19.695819329125857,0.5738884186541982
2021-06-05,47639.568,39952.074,5531.191622835207,438.287,35087.411,,,Mumbai,18.492617078960528,0.5400210753364211
2021-06-06,46956.817,38171.581,4889.555551304844,2386.375,34805.524,,,Mumbai,15.839126710935421,0.4729516562080601
2021-06-07,49543.44,39352.661,6121.470557614196,2153.86,34805.832,,,Mumbai,19.604374906987758,0.5839348092461369
2021-06-08,49116.711,38926.694,6173.595924204394,2093.082,34606.281,,,Mumbai,19.908177507657435,0.5901401512519692
2021-06-09,46798.944,38796.987,6104.02224201145,0.0,34217.888,,,Mumbai,19.557203883018666,0.5793521610700113
