date,total,power,traffic,residential_scope1,residential_scope2,industrial,avation,city,traffic_NOx,traffic_pm25
2020-03-15,26425.999,21620.212,,0.0,10993.584,,,Chennai,,
2020-03-16,29164.003,22447.214,,1890.357,10881.342,,,Chennai,,
2020-03-17,29942.724,23109.443,,1987.895,10888.946,,,Chennai,,
2020-03-18,29778.105,22842.55,,2112.529,10903.531,,,Chennai,,
2020-03-19,32352.299000000003,25536.624,,1984.044,11114.341,,,Chennai,,
2020-03-20,32048.295,25147.717,,2117.022,11112.391,,,Chennai,,
2020-03-21,28300.365,24111.915,,88.148,11148.811,,,Chennai,,
2020-03-22,30635.781,23650.686,,2125.744,11146.61,,,Chennai,,
2020-03-23,30204.71,23314.045,,2031.165,11102.46,,,Chennai,,
2020-03-24,31251.281,24442.862,,1940.374,11145.616,,,Chennai,,
2020-03-25,30084.718,25151.146,,106.194,11157.525,,,Chennai,,
2020-03-26,32041.485,25320.268,,1901.246,11112.299,,,Chennai,,
2020-03-27,31853.249,25333.018,,1779.087,11020.173,,,Chennai,,
2020-03-28,30948.104,25082.336,,1805.9,11007.706,,,Chennai,,
2020-03-29,30768.005,24408.68,,1747.987,11029.573,,,Chennai,,
2020-03-30,30161.761,23617.417,,1812.572,10974.184,,,Chennai,,
2020-03-31,28563.118,23737.871,,0.0,10990.997,,,Chennai,,
2020-04-01,31653.018,24923.43,,2012.362,10977.753,,,Chennai,,
2020-04-02,32311.235,25494.038,,2144.961,11052.693,,,Chennai,,
2020-04-03,32271.19,25647.622,,1982.247,11032.713,,,Chennai,,
2020-04-04,30940.33,25500.38,,1800.223,11052.039,,,Chennai,,
2020-04-05,30846.516,24536.925,,1841.64,11028.943,,,Chennai,,
2020-04-06,31763.071,25827.877,,1838.716,11115.078,,,Chennai,,
2020-04-07,32047.278,25871.602,,1639.801,11100.858,,,Chennai,,
2020-04-08,32444.751,25779.921,,2112.75,11063.447,,,Chennai,,
2020-04-09,32560.924000000003,25999.881,,1999.09,11050.749,,,Chennai,,
2020-04-10,30661.366,26138.895,,19.719,11035.852,,,Chennai,,
2020-04-11,31116.703,25663.461,,1863.589,11017.246,,,Chennai,,
2020-04-12,31396.074,24915.459,,1927.666,11005.723,,,Chennai,,
2020-04-13,32989.49,26505.002,,1894.672,11043.57,,,Chennai,,
2020-04-14,32282.443,25966.766,,1904.68,11094.934,,,Chennai,,
2020-04-15,31878.063,25737.692,,1550.258,11060.868,,,Chennai,,
2020-04-16,29590.283,24960.019,,0.0,11086.491,,,Chennai,,
2020-04-17,31182.493,24756.972,,1882.573,11087.079,,,Chennai,,
2020-04-18,30063.152,24497.078,,1826.814,11077.955,,,Chennai,,
2020-04-19,30045.341,23730.184,,1784.124,11052.383,,,Chennai,,
2020-04-20,31281.797,25132.402,,1583.611,10998.988,,,Chennai,,
2020-04-21,31529.094,25089.733,,1846.799,11063.683,,,Chennai,,
2020-04-22,31008.199,24590.353,,1856.006,11061.866,,,Chennai,,
