city,epsilon,CARA_CO2_reduction_pct,CARA_distance_penalty_pct,CARA_policy_violation_pct,CARA_operational_utility,CARA_operational_rank,CARA_final_rank,mean_consensus_stability,mean_agent_disagreement,mean_decision_time_seconds
Chennai,0.05,10.20222663901784,0.6652071669944744,0.0,13.224338459639178,1.0,1.0,0.6235833826424474,0.3764166173575525,1.7693662460000632
Chennai,0.1,19.441766436047818,2.264041330983535,0.0,23.105829617958793,1.0,1.0,0.6747709747055923,0.3252290252944077,2.2905780920002146
Chennai,0.15,25.550131992317596,3.9735993887871235,0.0,28.4717400220897,1.0,1.0,0.715026661086961,0.2849733389130389,2.2414786340003046
Chennai,0.2,31.36595778570981,5.780059434439952,0.0,33.1903941296731,1.0,1.0,0.7428458532994999,0.2571541467004999,2.2358384490002936
Delhi,0.05,14.814468490686059,0.8192743610391305,0.0,17.428392355719232,1.0,1.0,0.6248205064347007,0.3751794935652994,11.261976026000411
Delhi,0.1,27.69688747930967,2.9114747962894922,0.0,29.752936889617022,1.0,1.0,0.7001194897773366,0.2998805102226634,10.523806415999424
Delhi,0.15,35.727601325449484,4.701144747302567,0.0,36.62884696840959,1.0,1.0,0.7404950653952658,0.2595049346047343,11.255564854999683
Delhi,0.2,44.60797768448282,7.303095100082371,0.0,42.6243146009917,2.0,2.0,0.7845490871828652,0.21545091281713488,11.068263666999847
Mumbai,0.05,10.04786004505096,0.6081248958418072,0.0,11.869264005986308,1.0,1.0,0.6570946220195444,0.34290537798045556,2.029453094999699
Mumbai,0.1,20.273215789202325,2.437648102241464,0.0,21.752029655437738,1.0,1.0,0.6962667288266868,0.30373327117331317,1.427692559000643
Mumbai,0.15,26.764123372582908,4.050033428145219,0.0,27.11573721732485,1.0,1.0,0.7317422584161112,0.2682577415838889,1.218969751000477
Mumbai,0.2,35.53718795262376,6.683864842294792,0.0,33.79731583415271,1.0,1.0,0.7715817721699785,0.2284182278300216,1.2269018119997055
