city,epsilon,od_id,method,distance_km,actual_CO2_cost,hotspot_cost,pollutant_cost,top10_hotspot_cells,nodes,CO2_reduction_pct_vs_shortest,distance_penalty_pct_vs_shortest,hotspot_reduction_pct_vs_shortest,top10_reduction_pct_vs_shortest,policy_violation_pct,operational_utility_score,runtime_seconds,consensus_utility,agent_disagreement,consensus_stability,cara_route_utility,policy_score
Delhi,0.05,0,CARA_Full,24.575376362996803,3676.4518788831483,21.50789767096134,22.686025768087244,4,48,34.72674720517444,4.630825807930174,23.906159326913144,50.0,0.0,37.418175252770666,8.20378019999771,0.8792217923885226,0.19230155799420415,0.8076984420057959,0.8638376677489863,1.0
Delhi,0.05,0,ShortestPath,23.48770180607156,5632.4018207571135,28.264965312190284,26.594487115956394,8,48,0.0,0.0,0.0,0.0,0.0,0.0,9.200004569720477e-06,,,,,
Delhi,0.05,0,CO2_Dijkstra,67.94191716829665,2238.410323951575,22.13339321110011,37.135393954410375,1,105,60.258333918891374,189.26592192486754,21.693188133670603,87.5,184.26592192486754,-1781.5542912629487,4.29999636253342e-06,,,,,
Delhi,0.05,0,AStar_EcoRouting,24.575376362996803,3676.4518788831483,21.50789767096134,22.686025768087244,4,48,34.72674720517444,4.630825807930174,23.906159326913144,50.0,0.0,37.418175252770666,6.399997801054269e-06,,,,,
Delhi,0.05,0,Weighted_EcoRouting,24.575376362996803,3676.4518788831483,21.50789767096134,22.686025768087244,4,48,34.72674720517444,4.630825807930174,23.906159326913144,50.0,0.0,37.418175252770666,5.999994755256921e-06,,,,,
Delhi,0.05,0,RandomForest_EcoRoute,25.300688388887583,3659.5253959628235,21.232036669970256,22.49510654112986,4,48,35.02726700931813,7.718876021950208,24.882141423279318,50.0,2.7188760219502077,10.279577501455712,4.399997123982757e-06,,,,,
Delhi,0.05,0,GradientBoost_EcoRoute,25.300688388887583,3659.5253959628235,21.232036669970256,22.49510654112986,4,48,35.02726700931813,7.718876021950208,24.882141423279318,50.0,2.7188760219502077,10.279577501455712,3.7999998312443495e-06,,,,,
Delhi,0.05,0,XGBoost_EcoRoute,25.300688388887583,3659.5253959628235,21.232036669970256,22.49510654112986,4,48,35.02726700931813,7.718876021950208,24.882141423279318,50.0,2.7188760219502077,10.279577501455712,4.199995601084083e-06,,,,,
Delhi,0.05,0,StaticDT_Routing,24.575376362996803,3676.4518788831483,21.50789767096134,22.686025768087244,4,48,34.72674720517444,4.630825807930174,23.906159326913144,50.0,0.0,37.418175252770666,5.900001269765198e-06,,,,,
Delhi,0.05,0,PredictiveDT_Routing,24.93795124056938,3664.8357360920186,21.327254707631305,22.49510654112986,4,48,34.93298502628161,6.174505477257599,24.545264881562908,50.0,1.1745054772575987,25.460562694487074,4.2000028770416975e-06,,,,,
Delhi,0.05,0,SingleAgent_Routing,25.300688388887583,3659.5253959628235,21.232036669970256,22.49510654112986,4,48,35.02726700931813,7.718876021950208,24.882141423279318,50.0,2.7188760219502077,10.279577501455712,5.399997462518513e-06,,,,,
Delhi,0.05,0,MultiAgent_NoNegotiation,25.300688388887583,3659.5253959628235,21.232036669970256,22.49510654112986,4,48,35.02726700931813,7.718876021950208,24.882141423279318,50.0,2.7188760219502077,10.279577501455712,0.00020570000197039917,,,,,
Delhi,0.05,1,CARA_Full,40.83543737628045,5600.832205676529,35.67483894945491,35.190662165510425,7,71,0.0,0.0,0.0,0.0,0.0,0.0,33.93390720000025,0.49140769593460765,0.4801194209484663,0.5198805790515337,0.45299814225873036,1.0
Delhi,0.05,1,ShortestPath,40.83543737628045,5600.832205676529,35.67483894945491,35.190662165510425,7,71,0.0,0.0,0.0,0.0,0.0,0.0,1.3000004400964826e-05,,,,,
Delhi,0.05,1,CO2_Dijkstra,79.91697330858024,478.25048669258615,18.853165262636278,38.52861124876123,0,120,91.46108169054105,95.70495247101374,47.15276699819736,100.0,90.70495247101374,-802.0120595204977,1.1099997209385037e-05,,,,,
Delhi,0.05,1,AStar_EcoRouting,50.79807591909265,1097.1285099441218,20.910270069375628,31.83083808225971,0,93,80.41133050134647,24.397041351635107,41.38650464827081,100.0,19.397041351635107,-102.86583069086919,1.1099997209385037e-05,,,,,
Delhi,0.05,1,Weighted_EcoRouting,47.62207309855694,1355.4183523607885,22.140844895936567,31.17727948463829,0,89,75.79969721308466,16.619476019665584,37.93708521766188,100.0,11.619476019665584,-31.426520374740235,1.1199997970834374e-05,,,,,
Delhi,0.05,1,RandomForest_EcoRoute,53.01777226488034,1016.6507340544164,20.551158325074333,32.6034594895937,0,96,81.84822010871838,29.832752313499363,42.39312935878483,100.0,24.832752313499363,-155.28273834688284,9.000003046821803e-06,,,,,
Delhi,0.05,1,GradientBoost_EcoRoute,53.01777226488034,1016.6507340544164,20.551158325074333,32.6034594895937,0,96,81.84822010871838,29.832752313499363,42.39312935878483,100.0,24.832752313499363,-155.28273834688284,8.600000001024455e-06,,,,,
Delhi,0.05,1,XGBoost_EcoRoute,53.01777226488034,1016.6507340544164,20.551158325074333,32.6034594895937,0,96,81.84822010871838,29.832752313499363,42.39312935878483,100.0,24.832752313499363,-155.28273834688284,8.600000001024455e-06,,,,,
