city,epsilon,method,CO2_reduction_pct_vs_shortest_mean,CO2_reduction_pct_vs_shortest_median,CO2_reduction_pct_vs_shortest_std,distance_penalty_pct_vs_shortest_mean,distance_penalty_pct_vs_shortest_median,distance_penalty_pct_vs_shortest_std,hotspot_reduction_pct_vs_shortest_mean,hotspot_reduction_pct_vs_shortest_median,top10_reduction_pct_vs_shortest_mean,top10_reduction_pct_vs_shortest_median,policy_violation_pct_mean,policy_violation_pct_max,operational_utility_score_mean,operational_utility_score_median,runtime_seconds_mean,runtime_seconds_median,policy_feasible_route_pct
Chennai,0.05,AStar_EcoRouting,47.15184525690421,50.26520337042552,21.444749698168113,15.726288265827847,10.395549333268015,15.661395228078009,40.17899857177462,40.45843059758133,72.53136398485236,80.0,11.665366854908616,57.829209193943036,-57.5341668281331,-4.1175773734410726,6.937999642104842e-06,5.049998435424641e-06,27.0
Chennai,0.05,CARA_Full,10.20222663901784,0.0,16.649776759707134,0.6652071669944744,0.0,1.466531587659525,8.705052309220571,0.0,18.317644887412328,0.0,0.0,0.0,13.224338459639178,0.0,1.7693662460000632,1.1223376000016287,100.0
Chennai,0.05,CO2_Dijkstra,55.24638376179756,59.690272280532625,20.153412312714273,49.16248142429689,32.49127003093267,45.174213941024576,44.65281292251425,48.161746899531494,77.77176634734775,88.19444444444444,44.40916145047946,185.78276306354115,-376.0254642293748,-206.3764532179913,6.196000103955157e-06,4.599998646881431e-06,7.000000000000001
Chennai,0.05,GradientBoost_EcoRoute,51.754092135759905,57.954452714704004,21.19515128409711,27.01757432642793,17.79085356932491,26.190336761591105,43.37323820469283,47.45641879558599,74.13020119415468,80.0,22.64693540113433,102.71601947199821,-161.76992062382416,-57.69311206718793,6.25099943135865e-06,4.049998096888885e-06,17.0
Chennai,0.05,MultiAgent_NoNegotiation,47.59093597642062,50.284309382002185,21.990339859930057,18.509776501226,10.966501962866582,19.862345303941105,40.59951514100269,41.80982648367305,73.34993172202475,80.0,14.569431205261537,86.76028019920196,-85.68430909762236,-9.679256752719475,0.00029837399983080105,0.0002808999997796491,28.000000000000004
Chennai,0.05,PredictiveDT_Routing,48.3533154711104,50.869343593734584,21.55791615436236,18.02143732053266,10.966501962866582,18.140054749775896,41.08227342641501,41.434224291737266,72.87051127167406,80.0,13.81777813923123,86.76028019920196,-77.69064757059726,-13.314139203284327,5.9750000218627974e-06,4.19999923906289e-06,23.0
Chennai,0.05,RandomForest_EcoRoute,51.754092135759905,57.954452714704004,21.19515128409711,27.01757432642793,17.79085356932491,26.190336761591105,43.37323820469283,47.45641879558599,74.13020119415468,80.0,22.64693540113433,102.71601947199821,-161.76992062382416,-57.69311206718793,6.267000062507578e-06,4.150002496317029e-06,17.0
Chennai,0.05,ShortestPath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0341999659431168e-05,1.0900002962443978e-05,100.0
Chennai,0.05,SingleAgent_Routing,52.852557826041945,58.20447866012203,21.204360606223492,32.22547939397377,20.621161752357075,33.6096369531396,44.019910659308245,47.55479217671245,75.60122371168883,83.76623376623377,27.730497069105173,185.78276306354115,-211.43242218509283,-97.66665354332886,7.306999905267731e-06,5.249999958323315e-06,14.000000000000002
Chennai,0.05,StaticDT_Routing,44.58557490441269,44.25225584020052,21.900155196572136,12.351084631988524,8.036989097764273,12.744058005424234,38.19908421327013,35.155486400323255,72.9388441016348,81.66666666666667,8.574308030809934,42.68102482774885,-29.61151649940876,11.246303642841713,6.068999573471956e-06,4.150002496317029e-06,37.0
Chennai,0.05,Weighted_EcoRouting,46.74313320279789,49.25486111557732,21.48044090639145,15.000071992658038,10.118950650277192,15.051448276716576,39.88199105111776,39.84955641648931,72.69747694166298,80.0,10.954823269035714,57.829209193943036,-50.95460140924502,5.202110899305692,7.896000606706366e-06,6.800000846851617e-06,28.999999999999996
Chennai,0.05,XGBoost_EcoRoute,51.754092135759905,57.954452714704004,21.19515128409711,27.01757432642793,17.79085356932491,26.190336761591105,43.37323820469283,47.45641879558599,74.13020119415468,80.0,22.64693540113433,102.71601947199821,-161.76992062382416,-57.69311206718793,6.020999499014579e-06,4.2000028770416975e-06,17.0
Chennai,0.1,AStar_EcoRouting,47.13887094426297,49.75339013308877,21.446432344442233,15.719866819977629,10.395549333268015,15.675369575014393,40.173910584388864,40.12094511496994,72.53136398485236,80.0,8.50915617042727,52.829209193943036,-32.28715676691601,18.608264189629395,1.0344000111217611e-05,9.2999980552122e-06,48.0
Chennai,0.1,CARA_Full,19.441766436047818,12.015333350301098,22.598641850725947,2.264041330983535,0.0005445587939016082,3.3253598850398705,16.384291687756093,10.724873481462543,34.281171025357075,0.0,0.0,0.0,23.105829617958793,10.297007377327576,2.2905780920002146,1.4268298500064702,100.0
Chennai,0.1,CO2_Dijkstra,55.270870582262425,59.69027228053261,20.171647970384562,49.49759725294812,32.49127003093267,45.5747393143363,44.643559465107366,48.161746899531494,77.77176634734775,88.19444444444444,40.34272961683956,180.78276306354115,-344.14438112579666,-166.3764532179913,9.463000460527836e-06,8.499999239575118e-06,16.0
Chennai,0.1,GradientBoost_EcoRoute,51.64869657240788,57.954452714704004,21.175396825675133,26.491871772208047,17.79085356932491,25.28431182368272,43.319592042627235,46.29405763873676,74.13020119415468,80.0,18.282874047700194,97.71601947199821,-125.93824333229617,-14.238067002607622,8.429000517935492e-06,8.250000973930582e-06,30.0
Chennai,0.1,MultiAgent_NoNegotiation,47.67241549482127,50.28430938200218,21.952193825429166,18.507004061073893,10.966501962866582,19.852605048045774,40.65858446830363,41.80982648367305,73.34993172202475,80.0,11.377330993778209,81.76028019920196,-60.03094834340037,9.58123125030042,0.0003886879996571224,0.00037319999682949856,45.0
Chennai,0.1,PredictiveDT_Routing,48.3383089137806,50.8693435937346,21.55691707241704,18.005115245766287,10.966501962866582,18.142016835678994,41.0735853077107,41.434224291737266,72.87051127167406,80.0,10.405934571092539,81.76028019920196,-50.38260549263694,11.249679752513217,8.224000193877146e-06,8.199996955227107e-06,42.0
Chennai,0.1,RandomForest_EcoRoute,51.64869657240788,57.954452714704004,21.175396825675133,26.491871772208047,17.79085356932491,25.28431182368272,43.319592042627235,46.29405763873676,74.13020119415468,80.0,18.282874047700194,97.71601947199821,-125.93824333229617,-14.238067002607622,1.059499969414901e-05,8.300004992634058e-06,30.0
Chennai,0.1,ShortestPath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2718000216409563e-05,1.179999890155159e-05,100.0
Chennai,0.1,SingleAgent_Routing,52.71903129873625,58.12150620851976,21.137480137144102,31.584262610609542,20.286330563035243,33.46135075824009,43.95575069998167,47.55479217671245,75.34282577887228,80.9090909090909,23.118557389738207,180.78276306354115,-173.42007769039768,-50.917150519669676,9.956999783753417e-06,9.69999746303074e-06,28.000000000000004
Chennai,0.1,StaticDT_Routing,44.73971709313479,44.25225584020052,21.839724325926138,12.517341548972018,8.036989097764273,12.713125600049176,38.3301365850579,36.30326900947399,72.47372782256502,80.0,6.072768673204333,37.62020444570188,-9.712047097914951,20.675351034397853,8.33000012789853e-06,8.200004231184721e-06,55.00000000000001
Chennai,0.1,Weighted_EcoRouting,46.72106088554935,49.25486111557732,21.442893787159687,14.972090214292837,10.118950650277192,15.0120492404111,39.86696824657652,39.84955641648931,72.69747694166298,80.0,7.8770522520393875,52.829209193943036,-26.30605343606317,19.80805781192549,1.0606000214465894e-05,1.0100000508828089e-05,50.0
Chennai,0.1,XGBoost_EcoRoute,51.64869657240788,57.954452714704004,21.175396825675133,26.491871772208047,17.79085356932491,25.28431182368272,43.319592042627235,46.29405763873676,74.13020119415468,80.0,18.282874047700194,97.71601947199821,-125.93824333229617,-14.238067002607622,8.544000374968163e-06,8.250000973930582e-06,30.0
Chennai,0.15,AStar_EcoRouting,47.13815369682874,50.26520337042551,21.453675356641646,15.700172518402164,10.395549333268015,15.67375075122909,40.16725955662901,40.45843059758133,72.53136398485236,80.0,6.427310258574886,47.829209193943036,-15.597043630260172,26.627574076646038,9.841000064625405e-06,9.2999980552122e-06,62.0
Chennai,0.15,CARA_Full,25.550131992317596,21.84053682122802,23.91078846604355,3.9735993887871235,1.9771985542091162,4.5820769333302485,21.7376136146927,19.579355076824218,44.522034812732485,50.0,0.0,0.0,28.4717400220897,20.61987189251216,2.2414786340003046,1.3789238000026671,100.0
Chennai,0.15,CO2_Dijkstra,55.220050991084946,59.69027228053261,20.182487752579934,49.00227446253641,32.49127003093267,45.297404020569104,44.668618580207855,48.161746899531494,77.77176634734775,88.19444444444444,35.94687102206808,175.78276306354115,-308.0251568204286,-126.37645321799128,9.284999323426746e-06,8.499999239575118e-06,24.0
Chennai,0.15,GradientBoost_EcoRoute,51.6457257777107,57.425589860034805,21.1489857439134,26.27426827714019,17.79085356932491,24.729015016627613,43.29819984739976,46.29405763873676,74.13020119415468,80.0,15.017244055514002,91.83955036879713,-99.39166329698182,4.901633037698318,8.515000008628703e-06,8.299997716676444e-06,43.0
Chennai,0.15,MultiAgent_NoNegotiation,47.4496665498727,50.28430938200218,21.731824128185785,18.26518881096413,10.966501962866582,19.64303959528772,40.48686286827304,41.80982648367305,72.76853637318753,80.0,8.796111326045196,75.16822238448141,-39.20617024628061,16.662499606779278,0.00038970899986452424,0.0003727000002982095,56.99999999999999
Chennai,0.15,PredictiveDT_Routing,48.349289818463156,50.869343593734584,21.55421826746675,17.994168362241247,10.966501962866582,18.05733698263918,41.069973376150195,41.434224291737266,72.87051127167406,80.0,8.070202302670749,75.16822238448141,-31.665678639310237,23.04127897970902,8.50100041134283e-06,8.199996955227107e-06,56.99999999999999
