city,epsilon,od_id,candidate_routes,chosen_candidate_rank,consensus_utility,agent_disagreement,consensus_stability,cara_route_utility,policy_score,generation_time_seconds,negotiation_time_seconds,total_decision_time_seconds
Delhi,0.05,0,29,27,0.8792217923885226,0.19230155799420415,0.8076984420057959,0.8638376677489863,1.0,8.200044099998195,0.0037360999995144084,8.20378019999771
Delhi,0.05,1,30,0,0.49140769593460765,0.4801194209484663,0.5198805790515337,0.45299814225873036,1.0,33.929839500000526,0.004067699999723118,33.93390720000025
Delhi,0.05,2,27,26,0.9428477306539984,0.0649983368959835,0.9350016631040166,0.9376478637023197,1.0,0.10086249999585561,0.005094799998914823,0.10595729999477044
Delhi,0.05,3,28,27,0.8831917645279188,0.10107877860825183,0.8989212213917481,0.8751054622392587,1.0,2.444662599998992,0.0038205999953788705,2.448483199994371
Delhi,0.05,4,29,26,0.863709194657792,0.3234692715198813,0.6765307284801187,0.8378316529362014,1.0,15.811130399997637,0.003772600000957027,15.814902999998594
Delhi,0.05,5,30,0,0.45334587050201886,0.5137999045111388,0.48620009548886123,0.4122418781411278,1.0,18.859184499997355,0.0038515000051120296,18.863036000002467
Delhi,0.05,6,29,26,0.8668216088889074,0.12669767112218647,0.8733023288778136,0.8566857951991325,1.0,3.6566760999994585,0.0038108000007923692,3.660486900000251
Delhi,0.05,7,29,0,0.5,0.5477225575051661,0.4522774424948339,0.4561821953995867,1.0,47.61423499999364,0.003880099997331854,47.61811509999097
Delhi,0.05,8,30,0,0.4911337549219643,0.48927819297301905,0.510721807026981,0.45199149948412276,1.0,13.41317230000277,0.0038530000019818544,13.417025300004752
Delhi,0.05,9,28,27,0.8967723731272164,0.09288094628700257,0.9071190537129974,0.8893418974242562,1.0,6.696764100001019,0.0041149999960907735,6.70087909999711
Delhi,0.05,10,27,0,0.5,0.5477225575051661,0.4522774424948339,0.4561821953995867,1.0,3.0353696000020136,0.003769900002225768,3.0391395000042394
Delhi,0.05,11,30,0,0.4712676664567488,0.49752728956020786,0.5024727104397921,0.43146548329193213,1.0,7.204347900005814,0.0039524000021629035,7.208300300007977
Delhi,0.05,12,28,27,0.8393392622428965,0.25260653929814575,0.7473934607018542,0.8191307390990448,1.0,18.061672000003455,0.0038071000017225742,18.065479100005177
Delhi,0.05,13,30,0,0.47556374799707646,0.4949701943088808,0.5050298056911192,0.435966132452366,1.0,19.018645299998752,0.0021991000030539,19.020844400001806
Delhi,0.05,14,30,0,0.4566210725908048,0.5111140703643949,0.48888592963560507,0.4157319469616532,1.0,23.04026590000285,0.003789800000959076,23.04405570000381
Delhi,0.05,15,25,9,0.9665511913255498,0.27211848237082786,0.7278815176291722,0.9447817127358835,1.0,0.20713780000369297,0.003993499994976446,0.21113129999866942
Delhi,0.05,16,30,0,0.50351231440893,0.4756580287798324,0.5243419712201676,0.4654596721065434,1.0,3.8325416000006953,0.004365299995697569,3.836906899996393
Delhi,0.05,17,29,0,0.5302951647095668,0.5216832383654287,0.47831676163457126,0.48856050564033254,1.0,3.027593500002695,0.0037800999998580664,3.031373600002553
Delhi,0.05,18,27,14,0.9459017699896233,0.058770126812009445,0.9412298731879906,0.9412001598446625,1.0,0.15875039999809815,0.0038560999964829534,0.1626064999945811
Delhi,0.05,19,30,27,0.8447800233682292,0.1436668956662593,0.8563331043337408,0.8332866717149284,1.0,30.909410899999784,0.004363499996543396,30.913774399996328
Delhi,0.05,20,30,0,0.45,0.5163977794943223,0.4836022205056777,0.40868817764045423,1.0,12.235703600003035,0.0038369999965652823,12.2395405999996
Delhi,0.05,21,27,0,0.4666666666666667,0.4906533814626582,0.5093466185373419,0.42741439614965404,1.0,0.9387233999950695,0.003803100000368431,0.9425264999954379
Delhi,0.05,22,27,0,0.48465152876252304,0.4744539287326358,0.5255460712673642,0.4466952144639122,1.0,0.42101389999879757,0.0038398000033339486,0.4248537000021315
