city,epsilon,od_id,candidate_routes,generation_time_seconds,negotiation_time_seconds,total_CARA_time_seconds
Delhi,0.05,0,29,8.200044099998195,0.0037360999995144084,8.20378019999771
Delhi,0.05,1,30,33.929839500000526,0.004067699999723118,33.93390720000025
Delhi,0.05,2,27,0.10086249999585561,0.005094799998914823,0.10595729999477044
Delhi,0.05,3,28,2.444662599998992,0.0038205999953788705,2.448483199994371
Delhi,0.05,4,29,15.811130399997637,0.003772600000957027,15.814902999998594
Delhi,0.05,5,30,18.859184499997355,0.0038515000051120296,18.863036000002467
Delhi,0.05,6,29,3.6566760999994585,0.0038108000007923692,3.660486900000251
Delhi,0.05,7,29,47.61423499999364,0.003880099997331854,47.61811509999097
Delhi,0.05,8,30,13.41317230000277,0.0038530000019818544,13.417025300004752
Delhi,0.05,9,28,6.696764100001019,0.0041149999960907735,6.70087909999711
Delhi,0.05,10,27,3.0353696000020136,0.003769900002225768,3.0391395000042394
Delhi,0.05,11,30,7.204347900005814,0.0039524000021629035,7.208300300007977
Delhi,0.05,12,28,18.061672000003455,0.0038071000017225742,18.065479100005177
Delhi,0.05,13,30,19.018645299998752,0.0021991000030539,19.020844400001806
Delhi,0.05,14,30,23.04026590000285,0.003789800000959076,23.04405570000381
Delhi,0.05,15,25,0.20713780000369297,0.003993499994976446,0.21113129999866942
Delhi,0.05,16,30,3.8325416000006953,0.004365299995697569,3.836906899996393
Delhi,0.05,17,29,3.027593500002695,0.0037800999998580664,3.031373600002553
Delhi,0.05,18,27,0.15875039999809815,0.0038560999964829534,0.1626064999945811
Delhi,0.05,19,30,30.909410899999784,0.004363499996543396,30.913774399996328
Delhi,0.05,20,30,12.235703600003035,0.0038369999965652823,12.2395405999996
Delhi,0.05,21,27,0.9387233999950695,0.003803100000368431,0.9425264999954379
Delhi,0.05,22,27,0.42101389999879757,0.0038398000033339486,0.4248537000021315
Delhi,0.05,23,25,0.04819449999922654,0.005077399997389875,0.05327189999661641
Delhi,0.05,24,29,2.272845800005598,0.004259499997715466,2.2771053000033135
Delhi,0.05,25,29,15.341965899999195,0.003950300000724383,15.34591619999992
Delhi,0.05,26,28,3.799887999994098,0.0039036000016494654,3.8037915999957477
Delhi,0.05,27,28,1.7203093999996781,0.0041335999994771555,1.7244429999991553
Delhi,0.05,28,29,8.017461600000388,0.003801200000452809,8.02126280000084
Delhi,0.05,29,30,9.63639410000178,0.0038218000045162626,9.640215900006297
Delhi,0.05,30,30,32.12500019999425,0.00394850000157021,32.12894869999582
Delhi,0.05,31,27,0.7762137000026996,0.0038016000034986064,0.7800153000061982
Delhi,0.05,32,30,19.22783470000286,0.004357700003311038,19.23219240000617
Delhi,0.05,33,26,0.06009669999912148,0.0036634999996749684,0.06376019999879645
Delhi,0.05,34,29,2.493839899994782,0.003796000004513189,2.4976358999992954
Delhi,0.05,35,29,32.29319200000464,0.006692700000712648,32.29988470000535
Delhi,0.05,36,29,0.3549109000014141,0.0038232999941101298,0.35873419999552425
Delhi,0.05,37,30,1.324779500006116,0.003787399997236207,1.3285669000033522
Delhi,0.05,38,30,7.702548000001116,0.003786100001889281,7.706334100003005
Delhi,0.05,39,29,3.878305600002932,0.0038149999963934533,3.8821205999993253
Delhi,0.05,40,29,13.957770399996662,0.0038398000033339486,13.961610199999996
Delhi,0.05,41,28,22.840576900001906,0.0037746000016340986,22.84435150000354
Delhi,0.05,42,28,14.621522000001278,0.00224539999908302,14.62376740000036
Delhi,0.05,43,30,29.50410539999575,0.004556499996397179,29.50866189999215
Delhi,0.05,44,28,26.1739288999961,0.004843499998969492,26.17877239999507
Delhi,0.05,45,29,17.785515100003977,0.005944100004853681,17.79145920000883
Delhi,0.05,46,29,4.987831799997366,0.0037849000000278465,4.991616699997394
Delhi,0.05,47,27,1.964044799999101,0.0038704999969922937,1.9679152999960934
Delhi,0.05,48,28,0.3998561999978847,0.004285000002710149,0.40414120000059484
Delhi,0.05,49,28,1.4029482000041753,0.004142099998716731,1.407090300002892
Delhi,0.05,50,29,18.739580499997828,0.008510500003467314,18.748091000001295
Delhi,0.05,51,28,5.9105559999952675,0.004003599999123253,5.914559599994391
Delhi,0.05,52,29,17.604333499999484,0.004259799999999814,17.608593299999484
Delhi,0.05,53,29,21.12493650000397,0.0037723999994341284,21.128708900003403
Delhi,0.05,54,29,14.284353200004261,0.005251599999610335,14.289604800003872
Delhi,0.05,55,28,0.4384263000029023,0.0038979999953880906,0.44232429999829037
Delhi,0.05,56,27,5.082421400002204,0.0039843999984441325,5.086405800000648
Delhi,0.05,57,30,27.0081491000019,0.003806000000622589,27.011955100002524
Delhi,0.05,58,28,1.8169687999979942,0.003986900002928451,1.8209557000009227
Delhi,0.05,59,28,0.9612848999968264,0.00378919999639038,0.9650740999932168
Delhi,0.05,60,28,2.974020299996482,0.002099899997119792,2.976120199993602
Delhi,0.05,61,29,3.7986548999979277,0.004110100002435502,3.802765000000363
Delhi,0.05,62,28,5.614368600006856,0.006197300004714634,5.62056590001157
Delhi,0.05,63,30,46.45292760000302,0.0038522000031662174,46.45677980000619
Delhi,0.05,64,29,8.990415200001735,0.004226099998049904,8.994641299999785
Delhi,0.05,65,28,6.949830799996562,0.00375769999664044,6.953588499993202
Delhi,0.05,66,30,21.335950399996364,0.003774899996642489,21.339725299993006
Delhi,0.05,67,30,9.626198900004965,0.004611800002749078,9.630810700007714
Delhi,0.05,68,28,2.5973417999994126,0.006622600005357526,2.60396440000477
Delhi,0.05,69,28,5.730587899997772,0.0037684999988414347,5.734356399996614
Delhi,0.05,70,26,0.06578129999979865,0.0036525999967125244,0.06943389999651117
Delhi,0.05,71,28,23.220447200001217,0.0037745000008726493,23.22422170000209
Delhi,0.05,72,28,3.7333220000000438,0.004272499994840473,3.7375944999948842
Delhi,0.05,73,28,7.308289699998568,0.0037837000054423697,7.31207340000401
