city,epsilon,od_id,method,distance_km,actual_CO2_cost,hotspot_cost,pollutant_cost,top10_hotspot_cells,nodes,CO2_reduction_pct_vs_shortest,distance_penalty_pct_vs_shortest,hotspot_reduction_pct_vs_shortest,top10_reduction_pct_vs_shortest,policy_violation_pct,operational_utility_score,runtime_seconds
Delhi,0.05,0,CARA_Full,24.575376362996803,3676.4518788831483,21.50789767096134,22.686025768087244,4,48,34.72674720517444,4.630825807930174,23.906159326913144,50.0,0.0,37.418175252770666,0.0
Delhi,0.05,0,CARA_without_PredictionAgent,24.575376362996803,3676.4518788831483,21.50789767096134,22.686025768087244,4,48,34.72674720517444,4.630825807930174,23.906159326913144,50.0,0.0,37.418175252770666,0.0
Delhi,0.05,0,CARA_without_HotspotAgent,24.575376362996803,3676.4518788831483,21.50789767096134,22.686025768087244,4,48,34.72674720517444,4.630825807930174,23.906159326913144,50.0,0.0,37.418175252770666,0.0
Delhi,0.05,0,CARA_without_PollutantAgent,24.575376362996803,3676.4518788831483,21.50789767096134,22.686025768087244,4,48,34.72674720517444,4.630825807930174,23.906159326913144,50.0,0.0,37.418175252770666,0.0
Delhi,0.05,0,CARA_without_PolicyAgent,25.300688388887583,3659.5253959628235,21.232036669970256,22.49510654112986,4,48,35.02726700931813,7.718876021950208,24.882141423279318,50.0,2.7188760219502077,10.279577501455712,0.0
Delhi,0.05,0,CARA_without_NegotiationAgent,24.575376362996803,3676.4518788831483,21.50789767096134,22.686025768087244,4,48,34.72674720517444,4.630825807930174,23.906159326913144,50.0,0.0,37.418175252770666,0.0
Delhi,0.05,0,SingleAgent_Routing,25.300688388887583,3659.5253959628235,21.232036669970256,22.49510654112986,4,48,35.02726700931813,7.718876021950208,24.882141423279318,50.0,2.7188760219502077,10.279577501455712,0.0
Delhi,0.05,0,StaticDT_Routing,24.575376362996803,3676.4518788831483,21.50789767096134,22.686025768087244,4,48,34.72674720517444,4.630825807930174,23.906159326913144,50.0,0.0,37.418175252770666,0.0
Delhi,0.05,1,CARA_Full,40.83543737628045,5600.832205676529,35.67483894945491,35.190662165510425,7,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0.05,1,CARA_without_PredictionAgent,40.83543737628045,5600.832205676529,35.67483894945491,35.190662165510425,7,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0.05,1,CARA_without_HotspotAgent,40.83543737628045,5600.832205676529,35.67483894945491,35.190662165510425,7,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0.05,1,CARA_without_PollutantAgent,40.83543737628045,5600.832205676529,35.67483894945491,35.190662165510425,7,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0.05,1,CARA_without_PolicyAgent,50.79807591909265,1097.1285099441218,20.910270069375628,31.83083808225971,0,93,80.41133050134647,24.397041351635107,41.38650464827081,100.0,19.397041351635107,-102.86583069086919,0.0
Delhi,0.05,1,CARA_without_NegotiationAgent,40.83543737628045,5600.832205676529,35.67483894945491,35.190662165510425,7,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,0.05,1,SingleAgent_Routing,53.01777226488034,1016.6507340544164,20.551158325074333,32.6034594895937,0,96,81.84822010871838,29.832752313499363,42.39312935878483,100.0,24.832752313499363,-155.28273834688284,0.0
Delhi,0.05,1,StaticDT_Routing,45.97791193198314,1729.2019845881882,23.59576932606541,30.365182111001015,0,82,69.12598126336269,12.593166343039405,33.858792300375775,100.0,7.593166343039405,0.12371398315652016,0.0
Delhi,0.05,2,CARA_Full,4.491339132160226,898.5032541071771,5.721110009910802,5.410870911793856,1,10,36.48586009209415,0.001821373155828669,17.088339425624966,66.66666666666666,0.0,45.02638705859498,0.0
Delhi,0.05,2,CARA_without_PredictionAgent,4.491339132160226,898.5032541071771,5.721110009910802,5.410870911793856,1,10,36.48586009209415,0.001821373155828669,17.088339425624966,66.66666666666666,0.0,45.02638705859498,0.0
Delhi,0.05,2,CARA_without_HotspotAgent,4.491339132160226,898.5032541071771,5.721110009910802,5.410870911793856,1,10,36.48586009209415,0.001821373155828669,17.088339425624966,66.66666666666666,0.0,45.02638705859498,0.0
Delhi,0.05,2,CARA_without_PollutantAgent,4.491339132160226,898.5032541071771,5.721110009910802,5.410870911793856,1,10,36.48586009209415,0.001821373155828669,17.088339425624966,66.66666666666666,0.0,45.02638705859498,0.0
Delhi,0.05,2,CARA_without_PolicyAgent,4.491339132160226,898.5032541071771,5.721110009910802,5.410870911793856,1,10,36.48586009209415,0.001821373155828669,17.088339425624966,66.66666666666666,0.0,45.02638705859498,0.0
Delhi,0.05,2,CARA_without_NegotiationAgent,4.491339132160226,898.5032541071771,5.721110009910802,5.410870911793856,1,10,36.48586009209415,0.001821373155828669,17.088339425624966,66.66666666666666,0.0,45.02638705859498,0.0
Delhi,0.05,2,SingleAgent_Routing,4.854645726248918,872.5037468901924,5.534675421209117,5.274972125867196,1,10,38.32373472567806,8.091017057711623,19.79019296645529,66.66666666666666,3.091017057711623,7.308660631789472,0.0
Delhi,0.05,2,StaticDT_Routing,4.491339132160226,898.5032541071771,5.721110009910802,5.410870911793856,1,10,36.48586009209415,0.001821373155828669,17.088339425624966,66.66666666666666,0.0,45.02638705859498,0.0
Delhi,0.05,3,CARA_Full,15.823811307595154,101.75897374106518,5.751907829534192,10.57717727948464,0,33,56.80238874502061,2.3495912625871758,26.780615773043788,,0.0,65.49351410636815,0.0
Delhi,0.05,3,CARA_without_PredictionAgent,15.823811307595154,101.75897374106518,5.751907829534192,10.57717727948464,0,33,56.80238874502061,2.3495912625871758,26.780615773043788,,0.0,65.49351410636815,0.0
